day,hour,value
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
2,11,0
2,12,0
2,13,0
2,14,0
3,13,0
3,14,0
4,10,0
4,11,0
4,12,0
4,14,0
5,10,0
5,14,0
6,11,0
6,12,0
6,13,0
6,14,0
7,9,0
7,11,0
7,12,0
7,13,0
7,14,0
1,8,1
1,9,1
2,10,1
3,12,1
4,13,1
6,9,1
1,20,2
3,10,2
3,11,2
4,9,2
5,11,2
5,12,2
7,7,2
7,22,2
5,9,3
6,10,3
6,15,3
7,6,3
7,10,3
7,15,3
1,0,4
1,15,4
1,21,4
2,0,4
2,20,4
3,21,4
3,22,4
2,9,5
3,9,5
5,6,5
6,8,5
7,5,5
7,21,5
7,23,5
1,4,6
1,7,6
2,22,6
4,15,6
4,21,6
5,22,6
1,2,7
1,6,7
3,0,7
3,20,7
3,23,7
5,20,7
6,0,7
2,23,8
2,5,8
4,0,8
4,8,8
5,13,8
5,2,8
6,19,8
6,6,8
6,22,8
1,23,9
2,21,9
2,4,9
3,3,9
3,4,9
4,7,9
5,8,9
6,1,9
6,20,9
7,20,9
3,1,10
3,2,10
3,7,10
4,2,10
4,22,10
4,23,10
5,7,10
6,5,10
7,0,10
7,8,10
1,22,11
2,1,11
4,1,11
1,1,12
1,19,12
1,3,12
2,15,12
2,3,12
2,6,12
3,5,12
4,20,12
5,21,12
1,5,13
2,19,13
3,15,13
3,8,13
4,3,13
5,0,13
6,7,13
6,23,13
7,19,13
2,8,14
3,19,14
5,5,14
7,2,14
5,15,15
5,3,15
6,3,15
2,7,16
4,4,16
6,2,16
3,6,17
4,19,17
4,5,17
5,19,17
5,4,17
6,21,17
6,4,17
7,1,17
2,2,18
5,23,18
7,3,19
4,6,20
7,16,20
5,1,21
4,17,22
2,18,23
6,16,23
6,18,24
5,17,26
7,4,26
1,18,27
3,18,27
1,16,29
4,18,29
2,17,32
3,17,32
7,18,32
6,17,34
1,17,35
4,16,35
5,16,38
5,18,38
2,16,51
7,17,52
3,16,54